Hour,Predicted_Load
1,20.246962
2,20.720198
3,22.354532
4,25.215004
5,29.601276
6,34.719955
7,39.549843
8,45.578106
9,50.332195
10,54.421947
11,57.19743
12,58.90166
13,59.02928
14,57.78438
15,55.75311
16,52.780807
17,48.94028
18,44.51952
19,40.313164
20,34.92879
21,29.83557
22,25.757486
23,22.648363
24,20.955482
25,20.361576
26,20.991535
27,22.874231
28,25.984688
29,30.172577
30,35.068394
31,40.273563
32,45.516533
33,50.298973
34,54.345364
35,57.32147
36,59.05467
37,59.492016
38,58.68127
39,56.695942
40,53.64122
41,49.727222
42,45.23091
43,40.392555
44,35.363987
45,30.58054
46,26.449883
47,23.314802
48,21.388006
49,20.715366
50,21.298939
51,23.13466
52,26.188578
53,30.294683
54,35.11795
55,40.27954
56,45.445328
57,50.266712
58,54.38061
59,57.45281
60,59.282784
61,59.818478
62,59.090244
63,57.15493
64,54.124313
65,50.21449
66,45.710037
67,40.859516
68,35.882687
69,31.096607
70,26.910389
71,23.702724
72,21.693134
73,20.944921
74,21.456203
75,23.222733
76,26.210913
77,30.257887
78,35.03565
79,40.16963
80,45.32914
81,50.17812
82,54.344883
83,57.489113
84,59.3986
85,60.012466
86,59.356796
87,57.485394
88,54.50491
89,50.627758
90,46.14192
91,41.30259
92,36.328133
93,31.518942
94,27.28363
95,24.008654
96,21.923279
97,21.098658
98,21.535896
99,23.231417
100,26.153704
101,30.145748
102,34.885143
103,39.998787
104,45.15787
105,50.030766
106,54.246483
107,57.459274
108,59.44633
109,60.13779
110,59.556107
111,57.752773
112,54.828926
113,50.99109
114,46.52784
115,41.69972
116,36.723976
117,31.892868
118,27.611074
119,24.270378
120,22.110233
121,21.209595
122,21.572496
123,23.195904
124,26.051035
125,29.988012
126,34.69057
127,39.786026
128,44.945908
129,49.84229
130,54.105892
131,57.38617
132,59.450134
133,60.21908
134,59.71181
135,57.977917
136,55.11322
137,51.317814
138,46.87955
139,42.06401
140,37.088303
141,32.23718
142,27.910583
143,24.505249
144,22.27099
145,21.294601
146,21.582941
147,23.133352
148,25.920052
149,29.801037
150,34.46689
151,39.544975
152,44.706158
153,49.625656
154,53.9362
155,57.2829
156,59.423176
157,60.269447
158,59.836754
159,58.173
160,55.36917
161,51.618538
162,47.20736
163,42.405914
164,37.431705
165,32.56225
166,28.19239
167,24.723452
168,22.415611
